party,abb,colour,votes,percentage
Labor Party,ALP,#de2b33,93811,0.384269727356141
Liberal Party,LIB,#003da6,89632,0.367151658146546
ACT Greens,GREEN,#009640,25096,0.102798531917683
Sex Party,ASP,#FFD700,7474,0.030615087167388
Liberal Democratic Party,LDP,#f4b200,5028,0.020595753047582
Sustainable Australia,SUST,#E87700,3831,0.015692587495085
Animal Justice Party,AJP,#dd3333,3681,0.015078155721589
Like Canberra,LIKE,#EC0F70,2624,0.010748459824355
Canberra Community Voters,CCV,#FCDA2D,1703,0.00697584873509
Community Alliance Party,CAP,tomato,413,0.001691735483025
ungrouped,UNG,grey,10835,0.044382455105518
